xh,jyzk
2012211364,1
2012210426,1
2012211366,1
2012211367,0
2012214537,1
2012212462,1
2012211370,1
2012211371,1
2012212810,1
2012211373,1
2012214404,1
2012211376,1
2012211377,1
2012214648,1
2012211379,1
2012211380,1
2012211381,1
2012211382,0
2012210293,1
2012211658,0
2012213224,1
2012215342,1
2012210809,1
2012213551,1
2012210811,0
2012214971,1
2012214905,1
2012210815,1
2012210816,1
2012210817,1
2012210818,1
2012210819,1
2012210820,0
2012210821,1
2012214980,1
2012210823,1
2012210824,1
2012210825,1
2012210826,1
2012214041,1
2012210829,1
2012210830,1
2012210831,1
2012210832,1
2012210833,1
2012210834,1
2012210835,1
2012210836,1
2012210837,1
2012213083,1
2012210839,1
2012210840,1
2012210841,1
2012210842,1
2012210843,1
2012210844,1
2012210845,1
2012210846,1
2012210847,1
2012210848,1
2012210850,1
2012210851,1
2012210852,1
2012210853,1
2012210855,1
2012215183,1
2012210857,0
2012210858,1
2012210859,0
2012210860,1
2012210861,0
2012210862,0
2012210863,0
2012210864,0
2012210865,1
2012210866,1
2012214720,1
2012210868,1
2012210869,1
2012214721,1
2012210871,0
2012213320,1
2012210874,1
2012211663,1
2012210876,1
2012210877,1
2012210878,1
2012212591,1
2012211266,1
2012210881,1
2012210883,1
2012210884,1
2012210885,1
2012210886,1
2012210887,1
2012213489,1
2012210889,1
2012210890,1
2012210891,1
2012212471,1
2012213574,1
2012215415,1
2012211793,1
2012210896,1
2012211227,1
2012210899,1
2012215185,1
2012210902,1
2012210903,1
2012211299,1
2012210905,1
2012210906,1
2012213742,1
2012211106,1
2012212621,1
2012213738,1
2012210912,1
2012210913,1
2012210914,1
2012210915,1
2012210916,1
2012210917,1
2012210918,1
2012210919,1
2012210920,0
2012210921,1
2012210922,0
2012210923,1
2012210924,1
2012210925,1
2012210927,1
2012214883,1
2012215573,1
2012213257,1
2012210931,1
2012210932,1
2012210934,1
2012210935,1
2012210936,1
2012210937,1
2012210938,1
2012210939,1
2012210940,1
2012210941,1
2012210942,1
2012210943,1
2012210944,1
2012210945,1
2012210946,1
2012210947,1
2012210949,1
2012210898,1
2012213213,1
2012214597,1
2012210954,1
2012210955,1
2012210956,1
2012210957,1
2012214996,1
2012210959,0
2012210960,1
2012210961,1
2012213501,1
2012213021,1
2012210964,1
2012212589,1
2012210966,1
2012210967,1
2012210968,1
2012210969,1
2012210970,0
2012210971,1
2012210972,1
2012210973,1
2012210974,1
2012210975,1
2012211114,1
2012210977,1
2012210978,1
2012210979,1
2012210982,1
2012210976,1
2012210984,0
2012210985,1
2012211537,1
2012213598,1
2012210988,0
2012214093,1
2012210990,1
2012210991,1
2012210992,1
2012210993,1
2012210994,1
2012210995,1
2012210746,1
2012210997,1
2012213081,1
2012210738,1
2012211000,0
2012211151,1
2012211002,0
2012211003,1
2012211005,1
2012212473,1
2012211007,1
2012211008,1
2012211009,1
2012213146,1
2012211011,1
2012211012,1
2012211013,1
2012213537,1
2012211015,1
2012211575,1
2012212377,1
2012211018,1
2012210453,1
2012211020,1
2012215419,1
2012211022,1
2012211023,1
2012213440,1
2012211025,1
2012211026,1
2012211027,1
2012211028,1
2012211029,1
2012212963,1
2012211031,1
2012211032,1
2012211033,1
2012211034,1
2012211035,1
2012211036,1
2012212516,1
2012213151,1
2012212401,1
2012212815,1
2012211753,1
2012211042,1
2012211043,1
2012211990,1
2012211045,1
2012211368,1
2012211047,1
2012211048,0
2012211049,0
2012211050,1
2012213002,1
2012212890,1
2012211053,1
2012210186,1
2012211055,1
2012211056,1
2012211057,1
2012211058,1
2012211059,1
2012211060,0
2012211061,1
2012211062,1
2012210707,1
2012211064,1
2012211065,1
2012214870,1
2012211067,1
2012211068,1
2012212105,1
2012211070,0
2012211071,1
2012211072,1
2012211199,1
2012211074,1
2012211075,0
2012211076,1
2012211077,1
2012211078,1
2012211079,1
2012213528,1
2012213789,1
2012211082,1
2012215817,1
2012211084,1
2012211085,0
2012211086,1
2012211087,1
2012211088,1
2012210248,1
2012211091,1
2012211092,1
2012211093,1
2012211094,1
2012211095,1
2012211096,1
2012211097,0
2012211098,0
2012211099,1
2012211100,1
2012211101,1
2012211102,1
2012212288,1
2012215707,1
2012210163,1
2012211107,1
2012210576,1
2012210620,1
2012211111,1
2012211112,1
2012211113,1
2012210515,1
2012211115,1
2012210437,1
2012211117,1
2012210544,1
2012211119,0
2012214250,1
2012211121,1
2012211122,1
2012211123,1
2012211124,0
2012211125,1
2012211126,1
2012214540,1
2012211128,1
2012211129,1
2012211130,1
2012211132,1
2012213503,1
2012211134,1
2012211135,1
2012210693,1
2012214261,1
2012211138,1
2012211139,1
2012211140,1
2012211141,1
2012214495,1
